---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample2.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2708513
'total number of distinct words'= 45744
'popular_threshold_word': 2288
'common_threshold_l_word': 21728
'common_threshold_u_word': 24016
'rare_threshold_word': 43456
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 793|         grave|      335|
| 794|       orleans|      335|
| 795|          cost|      335|
| 796|      mountain|      335|
| 797|        island|      335|
| 798|         force|      335|
| 799|         wrong|      334|
| 800|         march|      333|
| 801|         fight|      332|
| 802|         stage|      332|
| 803|        breath|      330|
| 804|    apparently|      329|
| 805|         learn|      329|
| 806|      property|      329|
| 807|         visit|      328|
| 808|         carry|      328|
| 809|         crowd|      328|
| 810|      answered|      326|
| 811|          camp|      326|
| 812|          wall|      326|
| 813|          grew|      326|
| 814|         looks|      325|
| 815|         proud|      324|
| 816|         heads|      324|
| 817|     yesterday|      324|
| 818|           joe|      324|
| 819|   comfortable|      323|
| 820|          mary|      322|
| 821|       sellers|      322|
| 822|        native|      321|
| 823|         value|      321|
| 824|         green|      320|
| 825|        walked|      320|
| 826|       service|      320|
| 827|         girls|      319|
| 828|        secret|      319|
| 829|         quiet|      319|
| 830|        caught|      319|
| 831|      instance|      319|
| 832|           cat|      318|
| 833|     afternoon|      318|
| 834|        reader|      318|
| 835|        horses|      316|
| 836|     breakfast|      316|
| 837|          wind|      316|
| 838|       noticed|      316|
| 839|         dozen|      315|
| 840|          lake|      314|
| 841|        number|      313|
| 842|         sorry|      313|
| 843|         sweet|      312|
| 844|        higher|      312|
| 845|         faces|      312|
| 846|        houses|      311|
| 847|           hat|      311|
| 848|           ran|      310|
| 849|         laugh|      308|
| 850|           joy|      308|
| 851|       streets|      306|
| 852|       changed|      306|
| 853|      entirely|      306|
| 854|          snow|      306|
| 855|         heavy|      304|
| 856|       sitting|      304|
| 857|     condition|      304|
| 858|        spread|      303|
| 859|       command|      302|
| 860|         grace|      302|
| 861|       persons|      302|
| 862|       society|      301|
| 863|      suddenly|      300|
| 864|          plan|      299|
| 865|     afterward|      299|
| 866|         begun|      299|
| 867|          safe|      298|
| 868|        sudden|      298|
| 869|   mississippi|      297|
| 870|       reading|      297|
| 871|        honest|      297|
| 872|        desire|      296|
| 873|          shut|      296|
| 874|        window|      296|
| 875|        filled|      295|
| 876|      literary|      295|
| 877|         pilot|      295|
| 878|         fresh|      295|
| 879|         trees|      295|
| 880|          hall|      295|
| 881|       purpose|      294|
