---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample1.txt
---------------------------------------------------------------------------------------------
'total number of words'= 4202791
'total number of distinct words'= 204786
'popular_threshold_word': 10240
'common_threshold_l_word': 97273
'common_threshold_u_word': 107513
'rare_threshold_word': 194546
---------------------------------------------------------------------------------------------

Popular Words
+-----+---------------+---------+
| Rank|           Word|Frequency|
|  340|           ment|     1113|
|  341|          metal|     1112|
|  342|        persons|     1109|
|  343|          court|     1107|
|  344|          young|     1106|
|  345|         animal|     1103|
|  346|         public|     1102|
|  347|      belonging|     1101|
|  348|           turn|     1094|
|  349|        opposed|     1089|
|  350|          whole|     1088|
|  351|          money|     1083|
|  352|           thus|     1077|
|  353|            tic|     1077|
|  354|            own|     1074|
|  355|           foot|     1072|
|  356|       produced|     1069|
|  357|         object|     1069|
|  358|      character|     1067|
|  359|           wind|     1065|
|  360|             mo|     1064|
|  361|             us|     1055|
|  362|            age|     1055|
|  363|         system|     1049|
|  364|           tive|     1048|
|  365|         others|     1041|
|  366|           food|     1039|
|  367|          every|     1035|
|  368|            she|     1029|
|  369|             am|     1026|
|  370|         yellow|     1024|
|  371|            eye|     1022|
|  372|           thou|     1021|
|  373|        purpose|     1018|
|  374|         office|     1013|
|  375|            pro|     1012|
|  376|           fire|     1011|
|  377|             ro|     1009|
|  378|         become|     1007|
|  379|             te|     1007|
|  380|           king|     1003|
|  381|          fruit|      999|
|  382|            dim|      990|
|  383|             si|      990|
|  384|             ad|      987|
|  385|           open|      985|
|  386|        england|      985|
|  387|         people|      982|
|  388|        english|      981|
|  389|        flowers|      980|
|  390|          green|      977|
|  391|            gen|      977|
|  392|           half|      976|
|  393|         strong|      973|
|  394|          heart|      969|
|  395|        various|      969|
|  396|           love|      968|
|  397|           scot|      968|
|  398|          round|      967|
|  399|           fine|      961|
|  400|           biol|      959|
|  401|           book|      958|
|  402|            der|      953|
|  403|          would|      950|
|  404|       position|      942|
|  405|            ten|      942|
|  406|        physiol|      942|
|  407|          scott|      941|
|  408|          among|      938|
|  409|        subject|      937|
|  410|           case|      937|
|  411|            ate|      936|
|  412|        because|      935|
|  413|           hard|      935|
|  414|          equal|      933|
|  415|         allied|      933|
|  416|             os|      933|
|  417|         within|      926|
|  418|        country|      923|
|  419|       european|      922|
|  420|         shaped|      921|
|  421|           heat|      920|
|  422|             cy|      919|
|  423|            pre|      916|
|  424|             bi|      914|
|  425|          bring|      911|
|  426|          swift|      908|
|  427|           salt|      906|
|  428|         course|      904|
|  429|           hold|      901|
|  430|           face|      901|
|  431|           bear|      898|
|  432|       tennyson|      897|
|  433|          lower|      896|
|  434|          birds|      896|
|  435|          forms|      896|
|  436|         degree|      896|
|  437|           mark|      891|
|  438|        natural|      890|
|  439|          glass|      888|
|  440|             mi|      888|
|  441|           prob|      885|
|  442|          death|      884|
|  443|       language|      882|
|  444|      including|      882|
|  445|           lord|      881|
|  446|         browne|      879|
|  447|          wheel|      879|
|  448|         taylor|      875|
|  449|  distinguished|      875|
|  450|           goth|      874|
|  451|          again|      867|
|  452|          cloth|      866|
|  453|            tor|      864|
|  454|          woman|      862|
|  455|          forth|      862|
|  456|            oil|      861|
|  457|        animals|      860|
|  458|          grass|      857|
|  459|       practice|      856|
|  460|          known|      855|
|  461|           then|      850|
|  462|           true|      848|
|  463|            mil|      848|
|  464|        disease|      848|
|  465|           soft|      846|
|  466|           blue|      842|
|  467|       business|      838|
|  468|           gold|      836|
|  469|         weight|      836|
|  470|            sun|      835|
|  471|            war|      835|
|  472|           base|      831|
|  473|          shell|      824|
|  474|          paper|      824|
|  475|         change|      823|
|  476|           pass|      823|
|  477|           move|      823|
|  478|           fall|      822|
|  479|             ne|      822|
|  480|            tri|      818|
|  481|         series|      814|
|  482|          world|      812|
|  483|            ful|      810|
|  484|        variety|      807|
|  485|           bone|      806|
|  486|             pa|      804|
|  487|      direction|      798|
|  488|             vi|      797|
|  489|           gray|      797|
|  490|          close|      796|
|  491|          north|      793|
|  492|       commonly|      792|
|  493|          steam|      790|
|  494|             po|      790|
|  495|       quantity|      788|
|  496|            car|      788|
|  497|             ci|      787|
|  498|      authority|      786|
|  499|        machine|      785|
|  500|            too|      784|
|  501|        science|      782|
|  502|         liquid|      778|
|  503|     particular|      777|
|  504|           mass|      777|
|  505|            sub|      777|
|  506|           thin|      775|
|  507|        service|      773|
|  508|             tu|      773|
|  509|             ac|      771|
|  510|        measure|      770|
|  511|           feet|      770|
|  512|           near|      768|
|  513|          human|      765|
|  514|        covered|      764|
|  515|           game|      764|
|  516|        ancient|      762|
|  517|       material|      760|
|  518|           perh|      760|
|  519|           must|      758|
|  520|      according|      758|
|  521|          trees|      758|
|  522|          taken|      757|
|  523|       property|      755|
|  524|            lay|      753|
|  525|         spirit|      752|
|  526|          lines|      752|
|  527|             le|      751|
|  528|      producing|      751|
|  529|       supposed|      750|
