---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-d.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2902023
'total number of distinct words'= 59165
'popular_threshold_word': 2959
'common_threshold_l_word': 28103
'common_threshold_u_word': 31062
'rare_threshold_word': 56206
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 388|           hour|      787|
| 389|         france|      781|
| 390|          grace|      778|
| 391|        morning|      775|
| 392|            bed|      775|
| 393|        justice|      774|
| 394|       anything|      773|
| 395|           ship|      769|
| 396|            air|      767|
| 397|           want|      765|
| 398|         church|      762|
| 399|          began|      759|
| 400|          black|      759|
| 401|         spirit|      758|
| 402|         fellow|      755|
| 403|          known|      748|
| 404|             re|      748|
| 405|          stood|      747|
| 406|         turned|      742|
| 407|          least|      739|
| 408|     gloucester|      739|
| 409|         strong|      738|
| 410|           form|      734|
| 411|           sort|      733|
| 412|        strange|      727|
| 413|           open|      721|
| 414|           free|      721|
| 415|        english|      721|
| 416|        husband|      720|
| 417|             er|      719|
| 418|           hard|      718|
| 419|            die|      715|
| 420|         letter|      715|
| 421|           york|      715|
| 422|          until|      714|
| 423|           lost|      710|
| 424|            nay|      710|
| 425|          ought|      708|
| 426|         common|      707|
| 427|           wish|      704|
| 428|           play|      702|
| 429|          taken|      702|
| 430|         number|      698|
| 431|           year|      697|
| 432|        subject|      693|
| 433|           hast|      692|
| 434|          sense|      692|
| 435|        looking|      691|
| 436|          order|      688|
| 437|          makes|      688|
| 438|        towards|      686|
| 439|         please|      686|
| 440|            age|      680|
| 441|       remember|      679|
| 442|         behind|      679|
| 443|          cause|      677|
| 444|          works|      676|
| 445|           arms|      673|
| 446|           stay|      671|
| 447|           dark|      669|
| 448|          along|      669|
| 449|            sun|      668|
| 450|           fall|      667|
| 451|          court|      665|
| 452|          earth|      663|
| 453|         become|      661|
| 454|       thousand|      660|
| 455|        already|      659|
| 456|          large|      657|
| 457|           seem|      657|
| 458|        neither|      655|
| 459|           book|      653|
| 460|           five|      652|
| 461|           city|      651|
| 462|           care|      649|
| 463|            ask|      648|
| 464|         return|      647|
| 465|      different|      646|
| 466|          sight|      646|
| 467|         manner|      643|
| 468|          cried|      642|
| 469|          aside|      640|
| 470|       children|      639|
| 471|          seems|      639|
| 472|            red|      638|
| 473|           sent|      633|
| 474|         caesar|      631|
| 475|        further|      629|
| 476|         person|      625|
| 477|         beauty|      621|
| 478|        stephen|      617|
| 479|           land|      613|
| 480|           feel|      612|
| 481|            ill|      612|
| 482|         doctor|      611|
| 483|        servant|      611|
| 484|          above|      610|
| 485|      knowledge|      610|
| 486|           felt|      607|
| 487|         street|      606|
| 488|           view|      605|
| 489|        herself|      605|
| 490|          terms|      604|
| 491|       falstaff|      603|
| 492|           meet|      602|
| 493|       pleasure|      600|
| 494|         follow|      599|
| 495|      certainly|      597|
| 496|         passed|      596|
| 497|          human|      595|
| 498|          faith|      595|
| 499|          third|      594|
| 500|         desire|      594|
| 501|          doubt|      593|
| 502|         office|      592|
| 503|           cold|      589|
| 504|          short|      589|
| 505|           fool|      588|
| 506|         coming|      587|
| 507|          party|      584|
| 508|         change|      581|
| 509|          madam|      579|
| 510|           page|      577|
| 511|         french|      574|
| 512|            bad|      573|
| 513|          youth|      572|
| 514|       interest|      570|
| 515|          lords|      570|
| 516|        suppose|      568|
| 517|          sound|      568|
| 518|      sometimes|      567|
| 519|         tongue|      567|
| 520|           didn|      566|
| 521|           laws|      565|
| 522|         making|      564|
| 523|          horse|      564|
| 524|            ere|      562|
| 525|   constitution|      562|
| 526|       yourself|      561|
| 527|        richard|      560|
| 528|         ground|      559|
| 529|           need|      559|
| 530|        fortune|      558|
| 531|          close|      557|
| 532|         antony|      557|
| 533|            run|      556|
| 534|            lie|      555|
| 535|         gentle|      549|
| 536|           born|      549|
| 537|            ten|      548|
| 538|        chapter|      548|
| 539|           gods|      548|
| 540|       mistress|      548|
| 541|     particular|      547|
| 542|           fact|      547|
| 543|           duty|      546|
| 544|         hamlet|      545|
| 545|        several|      544|
| 546|           used|      542|
| 547|           wind|      541|
| 548|           self|      540|
| 549|          thine|      539|
