---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 312|          find|     1024|
| 313|         women|     1023|
| 314|         state|     1022|
| 315|          poor|     1005|
| 316|           lay|      993|
| 317|         whose|      989|
| 318|         peter|      986|
| 319|          next|      978|
| 320|      thousand|      973|
| 321|          wife|      970|
| 322|         speak|      965|
| 323|       looking|      963|
| 324|          cunt|      962|
| 325|         thine|      961|
| 326|         times|      961|
| 327|         small|      960|
| 328|         quite|      950|
| 329|       general|      947|
| 330|         light|      941|
| 331|        almost|      940|
| 332|       morning|      940|
| 333|       herself|      934|
| 334|      anything|      928|
| 335|           sat|      924|
| 336|          gone|      924|
| 337|      answered|      921|
| 338|          rest|      908|
| 339|         often|      907|
| 340|        person|      906|
| 341|          near|      904|
| 342|           eat|      902|
| 343|        manner|      900|
| 344|        course|      895|
| 345|     president|      891|
| 346|         jesus|      888|
| 347|          help|      881|
| 348|         known|      862|
| 349|           sea|      855|
| 350|        second|      849|
| 351|        twenty|      847|
| 352|          kind|      841|
| 353|         sight|      840|
| 354|          kept|      839|
| 355|     jerusalem|      836|
| 356|          read|      831|
| 357|         order|      831|
| 358|          dead|      827|
| 359|          best|      824|
| 360|         judah|      824|
| 361|           boy|      823|
| 362|        reason|      819|
| 363|    foundation|      813|
| 364|       captain|      809|
| 365|          none|      806|
| 366|          holy|      804|
| 367|          john|      802|
| 368|          feet|      802|
| 369|        friend|      801|
| 370|         since|      798|
| 371|        rather|      793|
| 372|           won|      793|
| 373|         cause|      789|
| 374|          fear|      789|
| 375|        states|      789|
| 376|         child|      785|
| 377|          fell|      784|
| 378|       whether|      784|
| 379|       certain|      782|
| 380|         mouth|      782|
| 381|        within|      780|
| 382|        return|      776|
| 383|          call|      771|
| 384|      offering|      767|
| 385|         peace|      766|
| 386|         white|      766|
| 387|          dear|      763|
| 388|          soul|      763|
| 389|    government|      762|
| 390|       friends|      760|
| 391|         above|      758|
| 392|        public|      756|
| 393|    electronic|      756|
| 394|          didn|      754|
| 395|          feel|      754|
| 396|      received|      752|
| 397|          open|      751|
| 398|        matter|      748|
| 399|          does|      748|
| 400|       majesty|      739|
| 401|         along|      739|
| 402|       servant|      737|
| 403|         leave|      735|
| 404|          turn|      733|
| 405|         cried|      733|
| 406|       written|      730|
| 407|          laid|      730|
| 408|         alone|      728|
| 409|        heaven|      728|
| 410|          free|      725|
| 411|        either|      723|
| 412|       perhaps|      722|
| 413|          evil|      722|
| 414|            ve|      722|
| 415|     sometimes|      721|
| 416|          live|      721|
| 417|       chapter|      720|
| 418|          hair|      718|
| 419|          laws|      714|
| 420|         prick|      713|
| 421|          case|      712|
| 422|      although|      711|
| 423|          nora|      709|
| 424|          gold|      707|
| 425|      servants|      704|
| 426|        around|      699|
| 427|         stand|      699|
| 428|         terms|      699|
| 429|           ten|      698|
| 430|        master|      696|
| 431|        strong|      696|
| 432|         river|      696|
| 433|          book|      694|
| 434|        toward|      693|
| 435|          true|      693|
| 436|        passed|      693|
| 437|           cut|      692|
| 438|       believe|      689|
| 439|       several|      688|
| 440|        family|      688|
| 441|        moment|      687|
| 442|           meg|      686|
| 443|          cast|      685|
| 444|         seven|      685|
| 445|           six|      685|
| 446|       present|      684|
| 447|       however|      682|
| 448|       brother|      681|
| 449|          able|      679|
| 450|          hard|      678|
| 451|           art|      677|
| 452|          hold|      674|
| 453|       subject|      673|
| 454|         blood|      672|
| 455|        number|      670|
| 456|           amy|      670|
| 457|          lady|      667|
