---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-g.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2065860
'total number of distinct words'= 38309
'popular_threshold_word': 1916
'common_threshold_l_word': 18196
'common_threshold_u_word': 20113
'rare_threshold_word': 36393
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 820|      happened|      253|
| 821|       troilus|      253|
| 822|          fast|      253|
| 823|        struck|      253|
| 824|         force|      253|
| 825|         edgar|      253|
| 826|        cassio|      253|
| 827|       trouble|      252|
| 828|        public|      252|
| 829|          lest|      252|
| 830|          easy|      252|
| 831|        french|      252|
| 832|      dashwood|      252|
| 833|         pedro|      251|
| 834|         party|      251|
| 835|   countenance|      251|
| 836|            ne|      251|
| 837|       history|      250|
| 838|         quiet|      249|
| 839|          evil|      249|
| 840|         offer|      249|
| 841|         mercy|      248|
| 842|       instant|      248|
| 843|      followed|      248|
| 844|          sick|      247|
| 845|           led|      246|
| 846|           hot|      246|
| 847|          hate|      246|
| 848|       written|      246|
| 849|           dog|      245|
| 850|    appearance|      244|
| 851|        doctor|      244|
| 852|          hell|      244|
| 853|        bloody|      243|
| 854|        regard|      243|
| 855|         begin|      243|
| 856|          wait|      243|
| 857|       passion|      242|
| 858|     attention|      242|
| 859|       chamber|      242|
| 860|       jaggers|      242|
| 861|       fairfax|      241|
| 862|    impossible|      240|
| 863|      presence|      240|
| 864|       content|      240|
| 865|         lover|      239|
| 866|       captain|      239|
| 867|      syracuse|      238|
| 868|      feelings|      238|
| 869|         chair|      237|
| 870|      straight|      237|
| 871|       receive|      237|
| 872|          lucy|      237|
| 873|         clear|      236|
| 874|         meant|      236|
| 875|      thinking|      236|
| 876|          ways|      236|
| 877|          lear|      236|
| 878|        secret|      235|
| 879|         truly|      235|
| 880|          suit|      235|
| 881|        effect|      235|
| 882|         frank|      235|
| 883|      jennings|      235|
| 884|         judge|      235|
| 885|           sin|      235|
| 886|         canst|      235|
| 887|       beseech|      235|
| 888|        proper|      234|
| 889|          pale|      234|
| 890|         flame|      234|
| 891|          grey|      234|
| 892|        hearts|      234|
| 893|           iii|      233|
| 894|         biddy|      233|
| 895|     valentine|      233|
| 896|           six|      233|
| 897|        emilia|      233|
| 898|        afraid|      232|
| 899|      highness|      232|
| 900|       several|      231|
| 901|       english|      231|
| 902|      speaking|      231|
| 903|    willoughby|      231|
| 904|         titus|      231|
| 905|       cassius|      231|
| 906|      consider|      230|
| 907|  conversation|      229|
| 908|         allow|      229|
| 909|     desdemona|      229|
| 910|     satisfied|      229|
| 911|         spite|      229|
| 912|            ho|      229|
| 913|     christian|      228|
| 914|       turning|      228|
| 915|        health|      228|
| 916|         didst|      228|
| 917|        hector|      228|
| 918|      gracious|      227|
| 919|     exclaimed|      226|
| 920|       confess|      226|
| 921|      governor|      226|
| 922|      observed|      225|
| 923|      whatever|      225|
| 924|         paper|      224|
| 925|          view|      224|
| 926|     churchill|      224|
| 927|       palamon|      224|
| 928|       feeling|      223|
| 929|        dromio|      223|
| 930|          rose|      222|
| 931|         added|      222|
| 932|         takes|      222|
| 933|          stop|      221|
| 934|        behold|      221|
| 935|       proteus|      221|
| 936|        nobody|      220|
| 937|         laugh|      220|
| 938|     beginning|      220|
| 939|       colonel|      220|
| 940|    antipholus|      220|
| 941|        speech|      219|
| 942|          weep|      219|
| 943|         piece|      219|
| 944|         parts|      219|
| 945|     ourselves|      218|
| 946|        breast|      218|
| 947|           ran|      217|
| 948|          gate|      217|
| 949|       pleased|      217|
| 950|        angelo|      217|
| 951|        former|      217|
| 952|    coriolanus|      217|
| 953|          soft|      217|
| 954|       entered|      216|
| 955|      greatest|      216|
| 956|    conscience|      216|
| 957|         smile|      216|
| 958|         learn|      216|
| 959|         fresh|      216|
| 960|     excellent|      215|
| 961|       knowing|      215|
| 962|       wherein|      215|
| 963|          moon|      215|
| 964|     petruchio|      215|
| 965|        simple|      214|
| 966|          wall|      214|
| 967|        wished|      214|
| 968|          wine|      213|
